id	pid	title	authors	venue	source	year
50|doi_dedup___::c097f90ae68932244748b6c4e97db599	10.1007/978-3-642-34234-9_70	The CULTURA project: supporting next generation interaction with digital cultural heritage collections,The CULTURA Project: Supporting Next Generation Interaction with Digital Cultural Heritage Collections	Eoin Bailey,Séamus Lawless,Nicola Orio,Cormac Hampson,Maristella Agosti,Owen Conlan,Vincent Wade	\N	Crossref,Progress in Cultural Heritage Preservation ISBN: 9783642342332,EuroMed,Università degli Studi di Padova - IRIS	2012-01-01
50|doi_________::879c524b90ee794ea268f02ccf7a556a	10.1038/d41586-019-00898-0	The joy of stats,The joy of stats	Evelyn Lamb	Nature	Crossref	2019-03-01
50|doi_________::da007ef8b02ac48fef80ff37613beb69	10.1162/002438900554398	On Feature Spreading and the Representation of Place of Articulation,On Feature Spreading and the Representation of Place of Articulation	Bert Vaux,Andrew Wolfe,Morris Halle	Linguistic Inquiry	Crossref	2000-07-01
50|doi_dedup___::3c6643b4d28dca2391c532c7be571f27	10.1109/cvpr.2018.00649,10.48550/arxiv.1802.09178,1802.09178	Photographic Text-to-Image Synthesis with a Hierarchically-Nested Adversarial Network,Photographic Text-to-Image Synthesis with a Hierarchically-Nested Adversarial Network	Yuanpu Xie,Lin Yang,Zizhao Zhang	2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition	Crossref,CVPR	2018-06-01
50|doi_dedup___::813bf330ff34ec5d97c2b72448c4fceb	10.1007/978-3-540-76888-3_58	Re-experiencing history in archaeological parks by playing a mobile augmented reality game,Re-experiencing History in Archaeological Parks by Playing a Mobile Augmented Reality Game	Maria Francesca Costabile,Paolo Buono,Rosa Lanzilotti,Carmelo Ardito,Thomas Pederson	\N	Crossref,On the Move to Meaningful Internet Systems 2007: OTM 2007 Workshops ISBN: 9783540768876,OTM Workshops (1)	2007-11-21
50|doi_dedup___::8ba61e9027384550379b66d4d02522d7	10.1007/978-3-319-48680-2_38,11380/1107367	Optimized Connected Components Labeling with Pixel Prediction,Optimized Connected Components Labeling with Pixel Prediction	Costantino Grana,Federico Bolelli,Lorenzo Baraldi	\N	Crossref,Advanced Concepts for Intelligent Vision Systems ISBN: 9783319486796,ACIVS	2016-01-01
50|doi_________::84e9d4e6d6524bedc9e6537ce28aaa69	10.1016/j.joi.2007.04.001	Do open access articles have greater citation impact?: A critical review of the literature,Do open access articles have greater citation impact?A critical review of the literature	Marie E. McVeigh,Andrew Plume,Iain D. Craig,Mayur Amin,James Pringle	Journal of Informetrics	Crossref	2007-07-01
50|doi_________::861af854546ba29b24628c70b634b089	10.1007/978-3-319-68130-6_6	Text Line Extraction in Handwritten Historical Documents,Text Line Extraction in Handwritten Historical Documents	Samuele Capobianco,Simone Marinai	\N	Crossref,Communications in Computer and Information Science ISBN: 9783319681290,IRCDL	2017-01-01
50|doi_________::0247abbd08ecc8076d52fe3e52e12901	10.1007/978-3-642-15939-8_38	Real-time news recommender system,Real-Time News Recommender System	Dunja Mladenic,Blaž Fortuna,Carolina Fortuna	\N	Crossref,Machine Learning and Knowledge Discovery in Databases ISBN: 9783642159381,ECML/PKDD (3)	2010-01-01
50|doi_________::2714461b1a5a36c36e8cc03d5ef4e77b	10.1007/978-3-642-04425-0_31	Scalable Semantic Annotation Using Lattice-Based Ontologies,Scalable Semantic Annotation Using Lattice-Based Ontologies	Elizabeth Latronico,Stavros Tripakis,Charles Shelton,Edward A. Lee,Ben Lickly,Man-Kit Leung,Thomas Mandl	\N	Crossref,Model Driven Engineering Languages and Systems ISBN: 9783642044243,MoDELS	2009-01-01
